,MONTH,MONTH(PADDED),DAY,DAY(PADDED),HOUR,HOUR(PADDED),AIR TEMP,WIND SPEED,SOLAR RADIATION,RAIN GAUGE,PEOPLE COUNTER
010606,01,01,06,06,06,06,27.9325,1.083333333,0,0,0
010607,01,01,06,06,07,07,28.25083333,2.083333333,4.558333333,0,1
010608,01,01,06,06,08,08,28.60333333,2.75,22.14166667,0,4
010609,01,01,06,06,09,09,28.91333333,4.25,39.55,0,2
010610,01,01,06,06,10,10,29.22583333,3,55.33333333,0,5
010611,01,01,06,06,11,11,29.03916667,4.25,75.25833333,0,3
010612,01,01,06,06,12,12,29.41166667,4,99.08333333,0,2
010613,01,01,06,06,13,13,29.62666667,3.5,132.8416667,0,9
010614,01,01,06,06,14,14,30.45,3.833333333,271.775,0,5
010615,01,01,06,06,15,15,30.73416667,5.25,240.0416667,0,9
010616,01,01,06,06,16,16,30.50916667,4.75,189.6333333,0,11
010617,01,01,06,06,17,17,29.67333333,3.583333333,112.7666667,0,16
010618,01,01,06,06,18,18,29.4675,3.25,108.4666667,0,16
010619,01,01,06,06,19,19,29.115,3,18.25,0,13
010620,01,01,06,06,20,20,28.4325,2.833333333,1.383333333,0.016666667,16
010621,01,01,06,06,21,21,28.29083333,1.75,0.066666667,0.033333333,11
010622,01,01,06,06,22,22,28.34083333,1.5,0,0,8
010623,01,01,06,06,23,23,28.3725,2.166666667,0,0,5
010624,01,01,06,06,24,24,28.46,3.25,0,0,4
010701,01,01,07,07,01,01,28.61333333,1.75,0,0,2
010702,01,01,07,07,02,02,28.68916667,1.25,0,0.033333333,1
010703,01,01,07,07,03,03,28.28416667,0.75,0,0,0
010704,01,01,07,07,04,04,28.25,2.083333333,0,0,0
010705,01,01,07,07,05,05,27.99333333,2.333333333,0.066666667,0,1
010706,01,01,07,07,06,06,27.80083333,1.666666667,0.133333333,0,0
010707,01,01,07,07,07,07,28.01333333,2.416666667,19.55833333,0,0
010708,01,01,07,07,08,08,28.42333333,2.666666667,27.48333333,0,3
010709,01,01,07,07,09,09,29.69333333,4.416666667,58.8,0,3
010710,01,01,07,07,10,10,29.92416667,3.583333333,95.88333333,0,4
010711,01,01,07,07,11,11,31.0525,3.416666667,154.0916667,0,1
010712,01,01,07,07,12,12,31.92083333,4,161.2333333,0,5
010713,01,01,07,07,13,13,32.565,5.666666667,289.4833333,0,9
010714,01,01,07,07,14,14,32.43166667,5.833333333,251.7166667,0,4
010715,01,01,07,07,15,15,31.61583333,9.083333333,177.9583333,0,5
010716,01,01,07,07,16,16,30.87833333,8.166666667,155.25,0,10
010717,01,01,07,07,17,17,31.9825,6.833333333,253.7166667,0,10
010718,01,01,07,07,18,18,31.75416667,8,153.4666667,0,12
010719,01,01,07,07,19,19,30.58083333,12.58333333,39.78333333,0,14
010720,01,01,07,07,20,20,30.55083333,9.666666667,20.675,0,12
010721,01,01,07,07,21,21,30.8175,8.416666667,0.208333333,0,14
010722,01,01,07,07,22,22,30.64083333,6.416666667,0,0,6
010723,01,01,07,07,23,23,30.42166667,4.083333333,0,0,8
010724,01,01,07,07,24,24,30.32583333,2.5,0.133333333,0,4
010801,01,01,08,08,01,01,29.94583333,3.5,0,0.016666667,2
010802,01,01,08,08,02,02,29.72583333,2.333333333,0,0,1
010803,01,01,08,08,03,03,29.31166667,3.333333333,0,0,0
010804,01,01,08,08,04,04,28.88416667,3.916666667,0,0,0
010805,01,01,08,08,05,05,28.74166667,3.583333333,0,0,1
010806,01,01,08,08,06,06,28.765,2.583333333,0,0,0
010807,01,01,08,08,07,07,28.74,3.916666667,9.433333333,0,2
010808,01,01,08,08,08,08,28.90333333,4.416666667,36.71666667,0,4
010809,01,01,08,08,09,09,29.4925,5.75,62,0,2
010810,01,01,08,08,10,10,29.88916667,4.75,94.49166667,0,4
010811,01,01,08,08,11,11,30.1425,3.916666667,114.425,0,3
010812,01,01,08,08,12,12,30.45083333,4.5,169.2833333,0,1
010813,01,01,08,08,13,13,31.69083333,5.333333333,316.4833333,0,10
010814,01,01,08,08,14,14,32.25166667,4.583333333,374.475,0,10
010815,01,01,08,08,15,15,32.29916667,5.916666667,359.8,0,9
010816,01,01,08,08,16,16,32.09416667,4.583333333,301.6333333,0,13
010817,01,01,08,08,17,17,31.49833333,7.25,211.2916667,0,14
010818,01,01,08,08,18,18,30.69,5.166666667,101.45,0,15
010819,01,01,08,08,19,19,29.95333333,5.25,43.30833333,0,7
010820,01,01,08,08,20,20,29.37,5.583333333,17.26666667,0,18
010821,01,01,08,08,21,21,29.13666667,5.25,0,0,15
010822,01,01,08,08,22,22,29.08833333,4.583333333,0,0,10
010823,01,01,08,08,23,23,29.03666667,5.583333333,0,0,4
010824,01,01,08,08,24,24,29.0175,2.916666667,0,0,6
010901,01,01,09,09,01,01,28.96416667,2.916666667,0,0,2
010902,01,01,09,09,02,02,28.79333333,3.333333333,0,0,0
010903,01,01,09,09,03,03,28.715,2.583333333,0,0,1
010904,01,01,09,09,04,04,28.70083333,3.333333333,0,0,1
010905,01,01,09,09,05,05,28.74,4.083333333,0,0,1
010906,01,01,09,09,06,06,28.75666667,3.583333333,0,0,0
010907,01,01,09,09,07,07,28.7925,3.916666667,0.208333333,0,1
010908,01,01,09,09,08,08,28.85333333,4.083333333,9.491666667,0,3
010909,01,01,09,09,09,09,28.97916667,3.416666667,25.75,0,3
010910,01,01,09,09,10,10,29.03,3.916666667,68.86666667,0,4
010911,01,01,09,09,11,11,29.5325,2.916666667,103.1833333,0,3
010912,01,01,09,09,12,12,30.27333333,3.583333333,156.3666667,0,3
010913,01,01,09,09,13,13,30.85416667,4.583333333,221.2916667,0,12
010914,01,01,09,09,14,14,31.15333333,4.25,220.1,0,9
010915,01,01,09,09,15,15,31.73666667,4.166666667,291.8416667,0,10
010916,01,01,09,09,16,16,31.7125,4.083333333,247.75,0,8
010917,01,01,09,09,17,17,31.01083333,4.666666667,136.8666667,0,14
010918,01,01,09,09,18,18,30.58166667,2.416666667,88.95,0,22
010919,01,01,09,09,19,19,30.27,2.333333333,39.00833333,0,14
010920,01,01,09,09,20,20,29.70583333,2.083333333,3.883333333,0,10
010921,01,01,09,09,21,21,29.36583333,1.916666667,0,0,9
010922,01,01,09,09,22,22,29.17166667,1.916666667,0,0,7
010923,01,01,09,09,23,23,29.1175,1.5,0,0,4
010924,01,01,09,09,24,24,29.11416667,1.083333333,0,0,5
011001,01,01,10,10,01,01,28.96583333,1.083333333,0,0,2
011002,01,01,10,10,02,02,28.92583333,1.083333333,0,0,1
011003,01,01,10,10,03,03,28.9875,1,0,0,2
011004,01,01,10,10,04,04,29.0275,1.166666667,0.066666667,0,1
011005,01,01,10,10,05,05,29.10083333,0.833333333,0.066666667,0,1
011006,01,01,10,10,06,06,29.22583333,1.083333333,0.133333333,0,0
011007,01,01,10,10,07,07,29.31,0.833333333,3.95,0,1
011008,01,01,10,10,08,08,29.66,1.833333333,26.975,0,0
011009,01,01,10,10,09,09,30.52583333,4.333333333,76.15833333,0,0
011010,01,01,10,10,10,10,31.66,4.333333333,154.0083333,0,1
011011,01,01,10,10,11,11,32.64166667,3.75,275.1833333,0,2
011012,01,01,10,10,12,12,32.9075,6,411.5416667,0,1
011013,01,01,10,10,13,13,32.7775,8.083333333,459.7,0,7
011014,01,01,10,10,14,14,33.16666667,9.583333333,464.8416667,0,4
011015,01,01,10,10,15,15,32.68666667,12.5,424.4666667,0,4
011016,01,01,10,10,16,16,32.82166667,11.5,359.5416667,0,3
011017,01,01,10,10,17,17,33.14333333,10.83333333,273.8583333,0,5
011018,01,01,10,10,18,18,33.09333333,9.333333333,145.6583333,0,14
011019,01,01,10,10,19,19,32.93666667,8.833333333,98.40833333,0,7
011020,01,01,10,10,20,20,32.86416667,9,13.65833333,0,4
011021,01,01,10,10,21,21,33.08416667,11.08333333,0.066666667,0,6
011022,01,01,10,10,22,22,32.2025,5.916666667,0.066666667,0,6
011023,01,01,10,10,23,23,31.95083333,5.5,0,0,5
011024,01,01,10,10,24,24,31.82,5.583333333,0,0,4
011101,01,01,11,11,01,01,31.69833333,2.416666667,0.066666667,0,1
011102,01,01,11,11,02,02,31.05416667,4.25,0,0,0
011103,01,01,11,11,03,03,28.49666667,8.833333333,0,0,1
011104,01,01,11,11,04,04,28.27,11.16666667,0,0,1
011105,01,01,11,11,05,05,28.13833333,8.333333333,0,0,1
011106,01,01,11,11,06,06,28.04833333,8.5,0,0,1
011107,01,01,11,11,07,07,27.85166667,6.5,0.341666667,0,0
011108,01,01,11,11,08,08,27.4175,5.083333333,5.816666667,0,0
011109,01,01,11,11,09,09,27.335,5.583333333,5.383333333,0,0
011110,01,01,11,11,10,10,27.4375,5.916666667,17.61666667,0,0
011111,01,01,11,11,11,11,28.10416667,4.833333333,43.175,0,0
011112,01,01,11,11,12,12,28.38666667,6.416666667,70.33333333,0,3
011113,01,01,11,11,13,13,28.51833333,4.833333333,85.11666667,0,4
011114,01,01,11,11,14,14,28.87833333,5.166666667,135.05,0,3
011115,01,01,11,11,15,15,29.32666667,4.5,181.7333333,0,4
011116,01,01,11,11,16,16,29.60416667,3.25,164.55,0,4
011117,01,01,11,11,17,17,29.25,3.166666667,100.9,0,6
011118,01,01,11,11,18,18,29.21166667,3.333333333,68.25,0,8
011119,01,01,11,11,19,19,28.90666667,2,26.925,0,10
011120,01,01,11,11,20,20,28.71166667,2.75,1.108333333,0,6
011121,01,01,11,11,21,21,28.7125,2.833333333,0,0,6
011122,01,01,11,11,22,22,28.68416667,2.5,0,0,7
011123,01,01,11,11,23,23,28.55916667,2.916666667,0,0,5
011124,01,01,11,11,24,24,28.40916667,2.583333333,0,0,3
011201,01,01,12,12,01,01,28.40666667,3.416666667,0,0,3
011202,01,01,12,12,02,02,28.28166667,3.5,0,0,2
011203,01,01,12,12,03,03,28.1175,4.083333333,0,0,1
011204,01,01,12,12,04,04,27.98333333,3.25,0.066666667,0,1
011205,01,01,12,12,05,05,27.885,2.166666667,0.066666667,0,1
011206,01,01,12,12,06,06,27.78416667,3.416666667,0,0,0
011207,01,01,12,12,07,07,27.885,2.333333333,9.491666667,0,2
011208,01,01,12,12,08,08,28.29916667,3.333333333,31.925,0,5
011209,01,01,12,12,09,09,28.7725,2.583333333,73.38333333,0,1
011210,01,01,12,12,10,10,28.8725,3.166666667,81.35833333,0,5
011211,01,01,12,12,11,11,28.84833333,2.583333333,43.94166667,0,4
011212,01,01,12,12,12,12,27.70333333,2.583333333,8.741666667,0,7
011213,01,01,12,12,13,13,27.43333333,3,27.275,0,11
011214,01,01,12,12,14,14,27.055,2.166666667,10.06666667,0,14
011215,01,01,12,12,15,15,27.16333333,2.833333333,18.45,0,7
011216,01,01,12,12,16,16,27.01916667,3.333333333,24.225,0,11
011217,01,01,12,12,17,17,27.32916667,2.583333333,30.19166667,0,18
011218,01,01,12,12,18,18,27.32583333,4.166666667,34.5,0,21
011219,01,01,12,12,19,19,27.19416667,3.083333333,8.316666667,0,13
011220,01,01,12,12,20,20,27.445,2.25,1.166666667,0,9
011221,01,01,12,12,21,21,27.32833333,0.666666667,0.066666667,0,10
011222,01,01,12,12,22,22,27.33916667,0.5,0,0,9
011223,01,01,12,12,23,23,27.90833333,2.916666667,0,0,7
011224,01,01,12,12,24,24,27.92166667,2.166666667,0,0,5
011301,01,01,13,13,01,01,27.8225,1.25,0,0,3
011302,01,01,13,13,02,02,27.08583333,1.333333333,0,0,1
011303,01,01,13,13,03,03,26.10666667,1.083333333,0,0,0
011304,01,01,13,13,04,04,25.88333333,1.416666667,0,0,2
011305,01,01,13,13,05,05,25.73333333,1.166666667,0,0,0
011306,01,01,13,13,06,06,25.72416667,1,0,0,0
011307,01,01,13,13,07,07,25.87583333,1.25,3.391666667,0,2
011308,01,01,13,13,08,08,26.38083333,1.333333333,26.78333333,0,3
011309,01,01,13,13,09,09,27.90916667,2.166666667,157.2,0,1
011310,01,01,13,13,10,10,29.46166667,2.166666667,180.8,0,4
011311,01,01,13,13,11,11,30.47166667,4.25,288.0833333,0,7
011312,01,01,13,13,12,12,30.89583333,3.833333333,398.7916667,0,3
011313,01,01,13,13,13,13,31.45666667,4.333333333,496.075,0,12
011314,01,01,13,13,14,14,31.60666667,5.333333333,473.6583333,0,15
011315,01,01,13,13,15,15,31.12583333,5.25,442.8083333,0,8
011316,01,01,13,13,16,16,31.13166667,4.083333333,343.25,0,10
011317,01,01,13,13,17,17,30.88166667,5.083333333,265.7333333,0,15
011318,01,01,13,13,18,18,30.1275,3.833333333,118.375,0,19
011319,01,01,13,13,19,19,29.6075,7.333333333,64.35833333,0,9
011320,01,01,13,13,20,20,29.06583333,5.416666667,6.925,0,9
011321,01,01,13,13,21,21,28.88916667,5.5,0.133333333,0,7
011322,01,01,13,13,22,22,28.81166667,4.416666667,0.066666667,0,11
011323,01,01,13,13,23,23,28.73083333,3.166666667,0.133333333,0,5
011324,01,01,13,13,24,24,28.61416667,1.666666667,0.133333333,0,5
011401,01,01,14,14,01,01,28.59916667,1.166666667,0,0,2
011402,01,01,14,14,02,02,28.50333333,1.5,0,0,0
011403,01,01,14,14,03,03,27.98666667,1.416666667,0,0,1
011404,01,01,14,14,04,04,27.785,1.166666667,0,0,1
011405,01,01,14,14,05,05,27.5,1.25,0.066666667,0,1
011406,01,01,14,14,06,06,27.43333333,0.916666667,0.208333333,0,0
011407,01,01,14,14,07,07,27.56416667,0.666666667,16.09166667,0,0
011408,01,01,14,14,08,08,28.39,1.25,59.43333333,0,3
011409,01,01,14,14,09,09,30.15166667,1.833333333,167.4166667,0,2
011410,01,01,14,14,10,10,30.84333333,3.333333333,196.0833333,0,3
011411,01,01,14,14,11,11,31.70083333,4.5,362.6833333,0,6
011412,01,01,14,14,12,12,32.03166667,4.583333333,400.8083333,0,7
011413,01,01,14,14,13,13,31.6625,7.583333333,427.7583333,0,16
011414,01,01,14,14,14,14,31.95916667,6.333333333,440.2583333,0,20
011415,01,01,14,14,15,15,31.70666667,8.833333333,326.6416667,0,8
011416,01,01,14,14,16,16,31.60416667,7,275.025,0,11
011417,01,01,14,14,17,17,31.27583333,5.25,206.15,0,19
011418,01,01,14,14,18,18,30.77416667,5.833333333,120.9083333,0,30
011419,01,01,14,14,19,19,30.22416667,3.666666667,48.74166667,0,15
011420,01,01,14,14,20,20,29.74,2.916666667,6.233333333,0,11
011421,01,01,14,14,21,21,29.39,2,0,0,11
011422,01,01,14,14,22,22,29.23583333,1.166666667,0,0,11
011423,01,01,14,14,23,23,29.04,1.333333333,0,0,9
011424,01,01,14,14,24,24,28.85333333,0.916666667,0,0,4
011501,01,01,15,15,01,01,28.52333333,0.5,0,0,2
011502,01,01,15,15,02,02,28.16166667,0,0,0,0
011503,01,01,15,15,03,03,27.92916667,0.5,0,0,1
011504,01,01,15,15,04,04,27.64916667,0.583333333,0,0,1
011505,01,01,15,15,05,05,27.30083333,0.083333333,0.066666667,0,1
011506,01,01,15,15,06,06,27.1425,0.25,0.55,0,1
011507,01,01,15,15,07,07,27.25083333,0.5,18.10833333,0,1
011508,01,01,15,15,08,08,28.06333333,1,71.01666667,0,3
011509,01,01,15,15,09,09,29.51333333,2.5,150.325,0,2
011510,01,01,15,15,10,10,31.14333333,4.083333333,255.2583333,0,2
011511,01,01,15,15,11,11,32.0125,3.75,318.6416667,0,3
011512,01,01,15,15,12,12,31.75166667,4.75,326.85,0,9
011513,01,01,15,15,13,13,32.03333333,4.666666667,400.875,0,12
011514,01,01,15,15,14,14,31.45666667,5.833333333,348.2916667,0,10
011515,01,01,15,15,15,15,31.545,6.416666667,303.2333333,0,5
011516,01,01,15,15,16,16,30.98333333,8.916666667,162.4,0,13
011517,01,01,15,15,17,17,30.68,8.25,157.6916667,0,17
011518,01,01,15,15,18,18,30.45166667,8.666666667,114.8583333,0,14
011519,01,01,15,15,19,19,30.7375,7.25,62.96666667,0,15
011520,01,01,15,15,20,20,30.84583333,5.583333333,17.2,0,14
011521,01,01,15,15,21,21,30.56583333,6.5,0,0,15
011522,01,01,15,15,22,22,30.34,6,0.066666667,0,7
011523,01,01,15,15,23,23,30.20916667,5.166666667,0,0,6
011524,01,01,15,15,24,24,30.15583333,3.916666667,0,0,2
011601,01,01,16,16,01,01,30.04833333,2.916666667,0,0,2
011602,01,01,16,16,02,02,29.92333333,1.75,0.066666667,0,1
011603,01,01,16,16,03,03,29.74166667,2,0,0,0
011604,01,01,16,16,04,04,29.62333333,2,0,0,1
011605,01,01,16,16,05,05,29.55,1,0,0,2
011606,01,01,16,16,06,06,29.62,2.666666667,0.341666667,0,0
011607,01,01,16,16,07,07,29.82,3.166666667,14.50833333,0,1
011608,01,01,16,16,08,08,29.0825,4.333333333,2.891666667,0.016666667,5
011609,01,01,16,16,09,09,28.69583333,3,19.7,0.05,5
011610,01,01,16,16,10,10,29.30166667,4,75.46666667,0,7
011611,01,01,16,16,11,11,29.6825,4.75,37.06666667,0,8
011612,01,01,16,16,12,12,29.6325,2.166666667,42.69166667,0,11
011613,01,01,16,16,13,13,30.00916667,1.25,58.175,0.016666667,13
011614,01,01,16,16,14,14,30.675,1.333333333,57.2,0,17
011615,01,01,16,16,15,15,31.54583333,3.5,121.9166667,0,6
011616,01,01,16,16,16,16,31.77083333,6.166666667,166.5666667,0,8
011617,01,01,16,16,17,17,32.00333333,5.166666667,140.0416667,0,11
011618,01,01,16,16,18,18,31.4175,6.083333333,71.15833333,0,23
011619,01,01,16,16,19,19,30.09916667,4.25,10.61666667,0,28
011620,01,01,16,16,20,20,29.19583333,1.5,0,0,11
011621,01,01,16,16,21,21,28.2875,2,0,0.016666667,11
011622,01,01,16,16,22,22,28.14083333,1.416666667,0.133333333,0,8
011623,01,01,16,16,23,23,28.27166667,1.75,0,0,9
011724,01,01,17,17,24,24,28.2075,1.416666667,0.133333333,0,4
011701,01,01,17,17,01,01,28.36083333,1.25,0.066666667,0,2
011702,01,01,17,17,02,02,28.975,4,0.066666667,0,1
011703,01,01,17,17,03,03,28.91,4.25,0,0,2
011704,01,01,17,17,04,04,29.0375,4,0.133333333,0,0
011705,01,01,17,17,05,05,29.00083333,4.833333333,0.066666667,0,1
011706,01,01,17,17,06,06,28.5975,3.5,0,0,0
011707,01,01,17,17,07,07,27.80333333,3.833333333,0,0.016666667,1
011708,01,01,17,17,08,08,26.96916667,6,1.225,0.333333333,1
011709,01,01,17,17,09,09,27.0375,6.333333333,2.275,0.116666667,1
011710,01,01,17,17,10,10,27.02833333,4.916666667,3.808333333,0.233333333,1
011711,01,01,17,17,11,11,27.22833333,6.333333333,15.39166667,0.05,2
011712,01,01,17,17,12,12,27.26583333,5.25,31.44166667,0,2
011713,01,01,17,17,13,13,27.51166667,5.666666667,55.34166667,0.066666667,10
011714,01,01,17,17,14,14,27.56666667,4.916666667,67.475,0.016666667,10
011715,01,01,17,17,15,15,28.10833333,3.916666667,62.40833333,0,7
011716,01,01,17,17,16,16,29.6725,5.666666667,166.7166667,0,5
011717,01,01,17,17,17,17,28.8875,6.5,41.30833333,0,10
011718,01,01,17,17,18,18,28.81,5.583333333,13.94166667,0,7
011719,01,01,17,17,19,19,28.53916667,4.666666667,1.241666667,0,8
